x	x			衛星画像	衛星画像
1	2.5.07	施設情報	教育・子育て	小学校	小学校
	2.5.08	施設情報	教育・子育て	小中学校通学区域情報	小中学校通学区域情報
1	2.5.09	施設情報	教育・子育て	生涯学習施設	生涯学習施設
1	2.5.10	施設情報	教育・子育て	大学	大学
1	2.5.11	施設情報	教育・子育て	地域子育て支援拠点	地域子育て支援拠点
1	2.5.12	施設情報	教育・子育て	中学校	中学校
1	2.5.13	施設情報	教育・子育て	認可外保育施設一覧	認可外保育施設一覧
1	2.5.14	施設情報	教育・子育て	病児・病後児保育施設	病児・病後児保育施設
1	2.5.15	施設情報	教育・子育て	保育施設等	保育施設等
1	2.5.16	施設情報	教育・子育て	民間放課後児童クラブ	民間放課後児童クラブ
1	2.5.17	施設情報	教育・子育て	幼稚園	幼稚園
1	2.6.01	施設情報	行政機関	ふれあいセンター	ふれあいセンター
1	2.6.02	施設情報	行政機関	下水道施設	下水道施設
1	2.6.03	施設情報	行政機関	市役所・市民サービスセンター	市役所・市民サービスセンター
1	2.6.04	施設情報	行政機関	支所・連絡事務所	支所・連絡事務所
1	2.6.05	施設情報	行政機関	出張所	出張所
1	2.6.06	施設情報	行政機関	水道施設	水道施設
1	2.6.07	施設情報	行政機関	総合センター	総合センター
1	2.7.01	施設情報	交通	レンタサイクルポート	レンタサイクルポート
1	2.7.02	施設情報	交通	市立駐車場	市立駐車場
1	2.7.03	施設情報	交通	市立駐輪場	市立駐輪場
1	2.7.04	施設情報	交通	自転車保管所	自転車保管所
1	2.7.05	施設情報	交通	商店街通行量情報	商店街通行量情報
1	2.8.01	施設情報	防災施設	市民防災センター	市民防災センター
1	2.8.02	施設情報	防災施設	指定緊急避難場所・指定避難所	指定緊急避難場所・指定避難所
1	2.8.03	施設情報	防災施設	指定緊急避難場所・指定避難所	指定緊急避難場所・指定避難所
1	2.8.04	施設情報	防災施設	消防署・消防出張所	消防署・消防出張所
1	2.8.05	施設情報	防災施設	消防屯所	消防屯所
1	2.8.06	施設情報	防災施設	津波避難ビル	津波避難ビル
	3.1.1	防災情報	ハザードマップ	洪水	洪水
	3.1.1	防災情報	ハザードマップ	高潮	高潮
	3.1.1	防災情報	ハザードマップ	土砂崩れ	土砂崩れ
	3.1.2	防災情報	ハザードマップ	急傾斜地崩壊危険箇所	急傾斜地崩壊危険箇所
